URLs;Identifies;Mode_de_decouverte;Plateformes
http://ericdarsan.blogspot.com/;oui;methodologie;blogspot
http://errermemuscle.blogspot.com/;oui;methodologie;blogspot
http://est-ce-en-ciel.blogspot.com/;oui;autre;blogspot
http://etantdonnee.net;oui;repertoire_des_ecritures_num;
http://etats.civils.free.fr/;oui;autre;
http://etats.civils.free.fr/revue7;oui;methodologie;
http://etatscivils.editions.free.fr/;oui;methodologie;
http://etc-iste.blogspot.com/;oui;methodologie;blogspot
http://ethunelle.canalblog.com/;oui;methodologie;canalblog
http://etsansciel.eklablog.com/;oui;methodologie;eklablog
http://eucharismadit.hautetfort.com/;oui;autre;hautetfort
http://evazine.com/index.htm;oui;autre;
http://evedelaudec.fr/ecriture/;oui;autre;
http://expression.free.fr/poesie/indauteur.php?cleauteur=lux;oui;methodologie;
http://fabelire.canalblog.com/;oui;methodologie;canalblog
http://felixmartin.blogg.org/;oui;autre;blogg
http://fenetresopenspace.blogspot.com/;oui;methodologie;blogspot
http://feusurlequartiergeneral.blogspot.com/;oui;methodologie;blogspot
http://fillesmissiles.com/;oui;repertoire_des_ecritures_num;
http://flashgordoncontre-attaque.blogspot.com/;oui;repertoire_des_ecritures_num;blogspot
http://flaubert.univ-rouen.fr/derives/Bovary73/accueil.php;oui;repertoire_des_ecritures_num;
http://flegmatique.net/;oui;repertoire_des_ecritures_num;
http://florianhoudart.blogspot.com/2018/02/pourquoi-les-polemiques-actuelles.html;oui;cartoweb_JP;blogspot
http://fondation.thecroute.com/index.html;oui;methodologie;
http://fourques.canalblog.com/;oui;methodologie;canalblog
http://fpdv-revue-digitale.blogspot.com/2013/05/fpdv-n39-les-poubelles-obeses-marlene.html;oui;methodologie;blogspot
http://fqll.ca/wp-content/uploads/2015/11/LePasseur35.pdf;oui;methodologie;pdf
http://francais.agonia.net/index.php/poetry/13998090/Po%C3%A8me;oui;methodologie;
http://france.burghellerey.over-blog.com/;oui;autre;over-blog
http://franciscrespin.wifeo.com/;oui;methodologie;wifeo
http://franckgarot.net/;oui;methodologie;
http://francoisegrenierdroesch.over-blog.com/;oui;methodologie;over-blog
http://francoiserenaud.com/terrainfragile/;oui;methodologie;
http://francoiserenaud.com/terrainfragile/photographies/;oui;methodologie;
http://francoiserenaud.com/vo/;oui;methodologie;
http://frank.halison.free.fr/univers_ecrit.htm;oui;cartoweb_JP;
http://friches-et-appentis.blogspot.com/;oui;autre;blogspot
