Id,Label,timeset,authority,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Hub,modularity_class,clustering
independent1313,independent1313,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
sbataillon,sbataillon,,true,1,3,4,2,3,5,1,1,1,155.166667,0,14,0
AnneMortier1,AnneMortier1,,false,3,0,3,4,0,4,0,0,0,0,0,14,0.333333
DoraLibellule,DoraLibellule,,false,4,0,4,5,0,5,0,0,0,0,0,14,0.166667
Titplus1,Titplus1,,false,1,0,1,3,0,3,0,0,0,0,0,14,0
mvoinchet,mvoinchet,,false,1,0,1,1,0,1,0,0,0,0,0,14,0
ATrapenard,ATrapenard,,false,2,0,2,2,0,2,0,0,0,0,0,30,0
bertrandhadet,bertrandhadet,,false,2,0,2,2,0,2,0,0,0,0,0,42,0
lemondefr,lemondefr,,false,5,0,5,7,0,7,0,0,0,0,0,1,0
Marchelhibre,Marchelhibre,,true,4,0,4,4,0,4,0,0,0,0,0,7,0.083333
anton1955,anton1955,,true,1,70,71,1,111,112,8,0.233048,0.282836,0,0,2,0.016563
FranceRugby,FranceRugby,,false,1,0,1,14,0,14,0,0,0,0,0,2,0
paroles_la,paroles_la,,false,2,0,2,7,0,7,0,0,0,0,0,2,0
Brindille_,Brindille_,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
MarilynSpirit,MarilynSpirit,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
mhlester,mhlester,,false,3,0,3,4,0,4,0,0,0,0,0,2,0
sloppjockey,sloppjockey,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
coulmont,coulmont,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
cellojuliahagen,cellojuliahagen,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
Bettyxx84,Bettyxx84,,false,2,0,2,4,0,4,0,0,0,0,0,19,0
wonderofscience,wonderofscience,,false,1,0,1,3,0,3,0,0,0,0,0,2,0
Antho_Repartie,Antho_Repartie,,false,2,0,2,5,0,5,0,0,0,0,0,2,0
coherence_e,coherence_e,,false,7,0,7,39,0,39,0,0,0,0,0,8,0
ukiyoeota,ukiyoeota,,false,1,0,1,2,0,2,0,0,0,0,0,2,0
AllBlacks,AllBlacks,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
marcocarbocci,marcocarbocci,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
IrigoyenWilliam,IrigoyenWilliam,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
SoMabrouk,SoMabrouk,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
artistgklimt,artistgklimt,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
universal_sci,universal_sci,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
HWarlow,HWarlow,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
DinaBail,DinaBail,,true,5,44,49,18,98,116,11,0.161785,0.201733,4118.104762,0,14,0.007653
plantu,plantu,,false,2,0,2,3,0,3,0,0,0,0,0,9,0
silentmoviegifs,silentmoviegifs,,false,1,0,1,3,0,3,0,0,0,0,0,2,0
MarilynDiary,MarilynDiary,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
DalaiLama,DalaiLama,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
PetitTheatreJMP,PetitTheatreJMP,,false,2,0,2,2,0,2,0,0,0,0,0,7,0
NicMatyjasik,NicMatyjasik,,false,4,0,4,4,0,4,0,0,0,0,0,5,0
distractedfilm,distractedfilm,,false,2,0,2,2,0,2,0,0,0,0,0,2,0
PatrickLeHyaric,PatrickLeHyaric,,false,2,0,2,29,0,29,0,0,0,0,0,16,0
florencemehrez,florencemehrez,,false,2,0,2,2,0,2,0,0,0,0,0,2,0
carole_laure,carole_laure,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
latestinspace,latestinspace,,false,3,0,3,3,0,3,0,0,0,0,0,25,0
NassiraELM,NassiraELM,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
RikaInami8,RikaInami8,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
femeninna,femeninna,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
larrouturou,larrouturou,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
AsiyaMiya,AsiyaMiya,,false,2,0,2,2,0,2,0,0,0,0,0,2,0
BlackstarCorne1,BlackstarCorne1,,false,3,0,3,4,0,4,0,0,0,0,0,19,0
igorpianist,igorpianist,,false,2,0,2,2,0,2,0,0,0,0,0,7,0
restot50,restot50,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
FGalthie,FGalthie,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
ParisPasRose,ParisPasRose,,false,6,0,6,9,0,9,0,0,0,0,0,42,0
LoicDombreval,LoicDombreval,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
ryunohane6_6,ryunohane6_6,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
ET_Exists,ET_Exists,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
ARTEInfo,ARTEInfo,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
AngoJehan,AngoJehan,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
vvakatawa,vvakatawa,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
LeoAuteur,LeoAuteur,,false,2,0,2,3,0,3,0,0,0,0,0,14,0.5
AnaMariaOteroO3,AnaMariaOteroO3,,false,1,0,1,1,0,1,0,0,0,0,0,2,0
AKALouisPoete,AKALouisPoete,,true,2,2,4,8,3,11,1,1,1,23.85,0,14,0.083333
archillect,archillect,,false,3,0,3,6,0,6,0,0,0,0,0,37,0
SabrinaLger1,SabrinaLger1,,true,3,5,8,38,40,78,1,1,1,260,0,4,0.166667
ma_4lov,ma_4lov,,false,1,0,1,4,0,4,0,0,0,0,0,4,0
Rosedes24390647,Rosedes24390647,,false,1,0,1,1,0,1,0,0,0,0,0,4,0
VincentAvanzi,VincentAvanzi,,false,1,0,1,1,0,1,0,0,0,0,0,4,0
anotherblack4,anotherblack4,,false,2,0,2,2,0,2,0,0,0,0,0,4,0
son_bilboquet,son_bilboquet,,true,3,14,17,3,23,26,7,0.219825,0.244049,1902.701227,0,3,0.075
Pangar_studio,Pangar_studio,,false,3,0,3,5,0,5,0,0,0,0,0,37,0
ArtiShowDeNoel,ArtiShowDeNoel,,false,6,0,6,22,0,22,0,0,0,0,0,3,0.066667
Saraghina69,Saraghina69,,false,1,0,1,1,0,1,0,0,0,0,0,3,0
nouv_tentations,nouv_tentations,,false,1,0,1,1,0,1,0,0,0,0,0,3,0
EbibiGlass,EbibiGlass,,false,4,0,4,6,0,6,0,0,0,0,0,21,0.166667
JPRhaiku,JPRhaiku,,true,3,28,31,15,130,145,7,0.265213,0.299656,7953.496068,0,4,0.067734
montalbanyi,montalbanyi,,true,5,16,21,20,28,48,8,0.211887,0.250467,1455.248629,0,4,0.128947
MonLapinRoseX,MonLapinRoseX,,false,1,0,1,2,0,2,0,0,0,0,0,3,0
gblardone,gblardone,,false,4,0,4,4,0,4,0,0,0,0,0,3,0.083333
SamaelOrmesson,SamaelOrmesson,,false,6,0,6,22,0,22,0,0,0,0,0,4,0.4
QuatreSoupirs,QuatreSoupirs,,false,5,0,5,9,0,9,0,0,0,0,0,4,0.55
Faustruy,Faustruy,,true,8,42,50,29,125,154,7,0.276089,0.308641,28555.403716,0,4,0.045411
