Source	Target	Weight
EricDubois	Tintamarre6	1
EricDubois	98Memorial	1
EricDubois	SchnockRevue	1
EricDubois	cjeanney	1
EricDubois	livreshebdo	1
EricDubois	stjohnsphoto	1
EricDubois	MahaSlaoui	1
EricDubois	kevinbossuet	2
EricDubois	franceinfoplus	1
EricDubois	Chouny111	1
EricDubois	rglucks1	1
EricDubois	publienet	1
EricDubois	ClementBenech	1
EricDubois	Camel19759961	1
EricDubois	SamTheDrecker	1
EricDubois	ARTEfr	1
EricDubois	mairie15	1
EricDubois	CuriousKd2000	1
EricDubois	bibliotekerotic	1
EricDubois	GaccioB	1
EricDubois	MarianneleMag	1
EricDubois	urlivernenghi	2
EricDubois	Poezibao	1
EricDubois	momotchiii	1
EricDubois	handicap_gouv	2
EricDubois	MAM	1
EricDubois	francebleu	1
EricDubois	s_jourdain	1
EricDubois	Enthoven_R	1
Philinte4	GarconsOfficiel	5
Philinte4	mornayl	12
Philinte4	CcPignat	2
Philinte4	palais_au	1
Philinte4	maisondagoit	4
Philinte4	alicecoffin	1
Philinte4	IrenaBuzarewicz	1
Philinte4	penelopetweete	5
Philinte4	ericmarty55	1
Philinte4	mille_eclats	2
Philinte4	brunojp200	2
Philinte4	LambdaPaul	7
Philinte4	nicolasnibat	2
Philinte4	ANGECO7	4
Philinte4	ClementBenech	1
Philinte4	ManzoniGabriela	1
Philinte4	artistgreco	1
Philinte4	Daniel_Red_Eire	3
Philinte4	OrloffTania	1
Philinte4	BertrandUsclat	1
Philinte4	ESM15683727	1
Philinte4	Equipe1erDegre	1
Philinte4	angelepaoli	1
Philinte4	tristanmf	1
Philinte4	pchevilley	2
Philinte4	RaouxNathalie	1
Philinte4	janesweet_sweet	1
Philinte4	hstrag	1
Philinte4	Ksenija_Ksy	1
Philinte4	liminaire	1
Philinte4	larwoolf	1
Philinte4	grardcohen	1
Philinte4	_Carine_C	1
Philinte4	foise_cosson	1
Philinte4	marinabontee4	1
Philinte4	AttendantNadeau	1
Philinte4	IrisBugatti1	2
Philinte4	Cioranito	1
Philinte4	laPoezicdeVal	2
Philinte4	rabardeljf	1
Philinte4	BouDerLo	1
Philinte4	dbourrion	1
Philinte4	lilyinthewind10	1
Philinte4	le_gorafi	1
Philinte4	AtimUlysse	1
Philinte4	seff_nathalie	1
Philinte4	an_conda	1
Philinte4	philippe_rouyer	1
Philinte4	Philipsmithy	1
Philinte4	MiawallaceB52	1
Philinte4	utktun	1
Philinte4	TolergueNina	1
Philinte4	AlbertGalera	1
Philinte4	ComeSimien	1
Philinte4	twedouard	1
Philinte4	So_Constance	1
Philinte4	paroles_la	1
LaurenceFritsch	LeHuffPost	1
LaurenceFritsch	Projektile3	1
LaurenceFritsch	LaurenceFritsch	5
LaurenceFritsch	thomasvinau	1
LaurenceFritsch	ONU_fr	1
LaurenceFritsch	DanniSr8	2
LaurenceFritsch	MondedesLivres	2
LaurenceFritsch	franceculture	3
LaurenceFritsch	Passouline	1
LaurenceFritsch	edgarmorinparis	2
LaurenceFritsch	amabanckou	1
LaurenceFritsch	ipagination	1
LaurenceFritsch	ElaineAudet	1
LaurenceFritsch	angelepaoli	1
LaurenceFritsch	openculture	1
LaurenceFritsch	f_lebel	4
LaurenceFritsch	dossierfamilial	1
LaurenceFritsch	szabadnap	1
LaurenceFritsch	LuchiniFan	1
LaurenceFritsch	bernardpivot1	1
LaurenceFritsch	VWoolfBlog	1
LaurenceFritsch	JeanAbbiateci	1
LaurenceFritsch	CaenMemorial	1
LaurenceFritsch	OlivierQuelier	1
LaurenceFritsch	encephalogramme	1
LaurenceFritsch	joachimsene	1
LaurenceFritsch	JeanneCherhal	1
LaurenceFritsch	grandcorpsmalad	1
LaurenceFritsch	PvVavasseur	1
LaurenceFritsch	Centquarante	1
LaurenceFritsch	Sylvain_Pierre	1
LaurenceFritsch	dhasselmann	1
BleueEvelyne	BleueEvelyne	22
BleueEvelyne	Chouny111	2
BleueEvelyne	BOUZROU1	1
BleueEvelyne	Brevesdepresse	2
BleueEvelyne	Mediavenir	6
BleueEvelyne	Infirmier0	1
BleueEvelyne	LaLangelliere	1
BleueEvelyne	EricDubois	1
BleueEvelyne	belkidris	1
BleueEvelyne	3_coups	1
BleueEvelyne	elisenprovence	1
BleueEvelyne	ARTEfr	1
BleueEvelyne	Inafr_officiel	1
BleueEvelyne	AllIsVanity10	1
BleueEvelyne	aragon_jb	1
BleueEvelyne	Laissonslespre1	1
BleueEvelyne	momotchiii	1
BleueEvelyne	Le___Doc	1
BleueEvelyne	PrinceMots14	2
BleueEvelyne	Spleenlancien2	1
BleueEvelyne	HyperjlbAdemiro	1
BleueEvelyne	SorciereAxolotl	1
BleueEvelyne	AlexandreJardin	1
BleueEvelyne	BFMTV	1
BleueEvelyne	le_Parisien	1
BleueEvelyne	globhumanitaire	1
BleueEvelyne	AnonymeCitoyen	1
BleueEvelyne	MarieDChevalier	1
BleueEvelyne	lalsace	1
BleueEvelyne	anthos965iclou1	1
BleueEvelyne	20320Vero	1
BleueEvelyne	GenotHuguette	1
BleueEvelyne	etienneliebig	1
BleueEvelyne	Salim20601633	1
BleueEvelyne	LaTarzanne	1
BleueEvelyne	kahinasekkai	1
BleueEvelyne	tristanmf	1
BleueEvelyne	StPetersbourg_W	1
BleueEvelyne	afpfr	1
BleueEvelyne	maya47000	1
BleueEvelyne	mohamedabdoube1	1
lerman_alix	EricDubois	28
lerman_alix	PourquoiPasToi	5
lerman_alix	urlivernenghi	3
lerman_alix	f_lebel	21
lerman_alix	vigourtcat	2
lerman_alix	ngruszkiewicz	19
lerman_alix	mxcote	12
lerman_alix	gwenenuts	6
lerman_alix	LucienSuel	8
lerman_alix	RtEnPassant	1
lerman_alix	MCDragne	1
lerman_alix	independent1313	1
lerman_alix	sbataillon	2
lerman_alix	Chouny111	6
lerman_alix	DanniSr8	16
lerman_alix	BleueEvelyne	10
lerman_alix	AnneMortier1	1
lerman_alix	SamTheDrecker	1
lerman_alix	GrimardC	2
lerman_alix	ParisAMDParis	1
lerman_alix	corpsecrits	2
lerman_alix	dhasselmann	2
lerman_alix	DoraLibellule	1
lerman_alix	Titplus1	3
lerman_alix	franceculture	5
lerman_alix	mvoinchet	1
lerman_alix	ATrapenard	1
lerman_alix	bertrandhadet	1
lerman_alix	lemondefr	1
lerman_alix	afpfr	1
lerman_alix	Jopolkadot	1
lerman_alix	MarcelFaure42	1
lerman_alix	BibliObs	2
lerman_alix	Marchelhibre	1
lerman_alix	AmisDeProust	1
lerman_alix	francemusique	1
lerman_alix	KreenDream	1
lerman_alix	belkidris	1
lerman_alix	EtienneKlein	1
lerman_alix	Tempuslegendae	1
lerman_alix	Plage_deserte	1
lerman_alix	MenschOhneMusil	1
lerman_alix	laetirature	1
lerman_alix	etxebarre	1
lerman_alix	schmidtiglesias	1
lerman_alix	srongier	1
anton1955	FranceRugby	14
anton1955	paroles_la	6
anton1955	philippe_rouyer	4
anton1955	Chouny111	1
anton1955	vigourtcat	2
anton1955	Brindille_	1
anton1955	MarilynSpirit	1
anton1955	mhlester	2
anton1955	franceinter	2
anton1955	sloppjockey	1
anton1955	coulmont	1
anton1955	GarconsOfficiel	6
anton1955	cellojuliahagen	1
anton1955	Bettyxx84	1
anton1955	wonderofscience	3
anton1955	Antho_Repartie	3
anton1955	coherence_e	1
anton1955	MaraRiv2	1
anton1955	ukiyoeota	2
anton1955	AllBlacks	1
anton1955	marcocarbocci	1
anton1955	IrigoyenWilliam	1
anton1955	SoMabrouk	1
anton1955	artistgklimt	1
anton1955	universal_sci	1
anton1955	lilyinthewind10	1
anton1955	HWarlow	1
anton1955	DinaBail	1
anton1955	Apres_lete	1
anton1955	PrinceMots14	1
anton1955	plantu	1
anton1955	silentmoviegifs	3
anton1955	MarilynDiary	1
anton1955	Inafr_officiel	1
anton1955	DalaiLama	1
anton1955	PetitTheatreJMP	1
anton1955	laetirature	2
anton1955	franceculture	3
anton1955	NicMatyjasik	1
anton1955	distractedfilm	1
anton1955	BleueEvelyne	1
anton1955	PatrickLeHyaric	1
anton1955	florencemehrez	1
anton1955	carole_laure	1
anton1955	latestinspace	1
anton1955	NassiraELM	1
anton1955	RikaInami8	1
anton1955	femeninna	1
anton1955	pierrelescure	1
anton1955	larrouturou	1
anton1955	AsiyaMiya	1
anton1955	LaetitiaWilfert	1
anton1955	BlackstarCorne1	1
anton1955	igorpianist	1
anton1955	restot50	1
anton1955	FGalthie	1
anton1955	ParisPasRose	1
anton1955	LoicDombreval	1
anton1955	ryunohane6_6	1
anton1955	ET_Exists	1
anton1955	ARTEInfo	1
anton1955	anton1955	1
anton1955	AngoJehan	1
anton1955	vvakatawa	2
anton1955	laforgesonia	1
anton1955	LeoAuteur	1
anton1955	AnaMariaOteroO3	1
anton1955	ManzoniGabriela	1
AKALouisPoete	Chouny111	1
AKALouisPoete	archillect	1
SabrinaLger1	SabrinaLger1	30
SabrinaLger1	ma_4lov	3
SabrinaLger1	Rosedes24390647	1
SabrinaLger1	VincentAvanzi	1
